,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,temuco,-38.7333,-72.6,296.15,68,40,1.54,CL,1612648385
172,pisco,-13.7,-76.2167,297.15,78,75,4.63,PE,1612648025
173,brahmapuri,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
174,ouegoa,-20.35,164.4333,301.1,63,0,0.71,NC,1612648386
175,mayo,38.8876,-76.5119,283.15,32,1,2.06,US,1612648386
176,san roque,36.2107,-5.3842,286.15,76,20,6.69,ES,1612648386
177,noumea,-22.2763,166.4572,299.82,73,90,1.54,NC,1612648313
178,nyurba,63.2842,118.3319,237.21,84,17,0.9,RU,1612647919
179,faanui,-16.4833,-151.75,300.95,67,2,4.79,PF,1612647893
180,muros,42.7762,-9.0603,278.71,89,42,3.33,ES,1612648049
181,mweka,-4.85,21.5667,293.8,91,49,0.76,CD,1612648202
182,jamsa,61.8642,25.19,259.15,92,90,3.09,FI,1612648386
183,clyde river,70.4692,-68.5914,248.15,77,75,2.06,CA,1612648011
184,barrow,71.2906,-156.7887,254.15,71,90,4.12,US,1612647917
185,bereda,43.2686,-7.5406,277.04,100,65,1.34,ES,1612648387
186,liling,27.6667,113.5,280.15,100,0,2,CN,1612648387
187,kerteh,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188,ayagoz,47.9714,80.4392,271.11,90,85,3.97,KZ,1612648387
189,batagay-alyta,67.8006,130.4114,238.69,83,94,0.76,RU,1612648175
190,tezu,27.9167,96.1667,288.32,34,70,1.47,IN,1612648388
191,farafangana,-22.8167,47.8333,299.31,86,100,5.14,MG,1612648388
192,touros,-5.1989,-35.4608,301.15,69,40,4.63,BR,1612647993
193,minab,27.1467,57.0801,290.15,88,0,2.06,IR,1612648388
194,ancud,-41.8697,-73.8203,298.15,44,0,3.6,CL,1612648059
195,prince george,53.9166,-122.753,260.93,72,75,5.14,CA,1612648262
196,puerto leguizamo,-0.1934,-74.7819,302.81,64,95,1.63,CO,1612648388
197,hailin,44.5833,129.4167,249.96,87,2,1.31,CN,1612648388
198,launceston,-41.45,147.1667,288.15,94,75,3.09,AU,1612648318
199,berdigestyakh,62.0989,126.6992,234.29,80,63,1.58,RU,1612648389
200,tocopilla,-22.092,-70.1979,295.79,55,16,3.24,CL,1612648389
201,tsihombe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
202,caconda,-13.7333,15.0667,290.44,69,80,2.86,AO,1612648389
203,segezha,63.7415,34.3222,265.61,97,100,4.47,RU,1612648389
204,marcona,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
205,dodge city,37.7528,-100.0171,269.15,74,90,9.26,US,1612648389
206,auki,-8.7676,160.7034,299.97,84,100,4.09,SB,1612648389
207,coahuayana,18.7333,-103.6833,300.15,50,1,3.05,MX,1612647895
208,kyren,51.6828,102.1408,258.45,79,68,1.31,RU,1612648390
209,tiruvottiyur,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
210,burica,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
211,ribeira grande,38.5167,-28.7,289.15,94,75,8.23,PT,1612647998
212,lorengau,-2.0226,147.2712,301.44,74,97,1.16,PG,1612647991
213,bemidji,47.4736,-94.8803,249.26,64,40,8.23,US,1612648188
214,cidreira,-30.1811,-50.2056,295.74,74,14,2.64,BR,1612648004
215,sentyabrskiy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
216,lasa,46.6166,10.7002,277.04,93,90,6.17,IT,1612647996
217,redcliffe,-27.2307,153.0973,299.26,78,0,2.57,AU,1612648391
218,ippy,6.2679,21.2247,296.03,22,11,2.73,CF,1612648391
219,avarua,-21.2078,-159.775,302.15,74,60,5.14,CK,1612648011
220,tonj,7.2737,28.6822,294.18,22,98,2.86,SS,1612648215
221,te anau,-45.4167,167.7167,291.73,56,6,0.98,NZ,1612648067
222,pokosnoye,55.5258,101.0536,262.57,95,100,2.95,RU,1612648391
223,dzaoudzi,-12.7887,45.2699,299.15,83,83,2.57,YT,1612648391
224,loughrea,53.1969,-8.5669,278.15,93,40,2.57,IE,1612648391
225,fairbanks,64.8378,-147.7164,252.04,77,90,0.39,US,1612648241
226,pevek,69.7008,170.3133,252.47,88,47,2.38,RU,1612648006
227,petropavlovsk-kamchatskiy,53.0452,158.6483,270.15,59,40,11,RU,1612647934
228,bendigo,-36.7667,144.2833,291.48,57,30,3.97,AU,1612648392
229,mahebourg,-20.4081,57.7,298.15,83,20,2.57,MU,1612648012
230,saldanha,-33.0117,17.9442,292.15,82,19,4.12,ZA,1612648007
231,namibe,-15.1961,12.1522,295.22,78,38,3.17,AO,1612647881
232,erdenet,49.0333,104.0833,254.42,83,2,1.51,MN,1612648392
233,khor,47.8861,134.9464,246.17,89,98,1.23,RU,1612648392
234,anadyr,64.75,177.4833,251.48,84,45,4,RU,1612648156
235,fez,34.0372,-4.9998,282.15,81,75,5.66,MA,1612648393
236,belushya guba,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
237,berlevag,70.8578,29.0864,270.17,93,100,11.34,NO,1612647888
238,klaksvik,62.2266,-6.589,274.15,64,99,8.75,FO,1612647893
239,zhezkazgan,47.8043,67.7144,266.49,95,59,8.1,KZ,1612648393
240,milingimbi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
241,nanortalik,60.1432,-45.2371,267.44,80,10,4.24,GL,1612647998
242,thompson,55.7435,-97.8558,241.15,62,75,5.14,CA,1612648003
243,mackay,-21.15,149.2,299.15,83,100,2.57,AU,1612648011
244,kirkenes,69.7271,30.0458,269.15,86,75,9.26,NO,1612648394
245,burns lake,54.2331,-125.7533,267.15,79,100,3.09,CA,1612648394
246,konstantinovka,49.6167,127.9833,245.71,88,79,2.12,RU,1612648394
247,cherskiy,68.75,161.3,250.76,80,0,2.41,RU,1612647997
248,acarau,-2.8856,-40.12,299.81,78,31,6.08,BR,1612648017
249,asau,46.4333,26.4,270.93,74,100,1.55,RO,1612648262
250,port hardy,50.6996,-127.4199,279.15,75,75,7.72,CA,1612647907
